Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Altersklasse,Bundesland,GeoCode,Value
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,5.5
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,Männlich,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,5.0
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,4.3
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,3.5
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,3.2
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,2.6
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,|,Männlich,,,,,4.3
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,4.4
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,6.3
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,7.0
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,6.3
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Männlich,,,,,5.6
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Baden-Württemberg,code08,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Baden-Württemberg,code08,3.4
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Baden-Württemberg,code08,5.2
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Baden-Württemberg,code08,6.1
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Baden-Württemberg,code08,6.8
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Baden-Württemberg,code08,5.5
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Bayern,code09,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Bayern,code09,3.1
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Bayern,code09,4.1
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Bayern,code09,4.5
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Bayern,code09,3.4
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,Bayern,code09,3.1
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Berlin,code11,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,Berlin,code11,
